JSP_ID,skID1,skID2,skDesc1,skDesc2,skJCnt1,skJCnt2,UnionJcnt,TotJCnt,support1,support2,confidence,lift
274,13,6,big data,apache,36,5,1,165,0.22,0.03,3,92
275,6,21,apache,cloud,5,57,2,165,0.03,0.35,40,116
276,21,6,cloud,apache,57,5,2,165,0.35,0.03,4,116
277,6,24,apache,communication,5,89,1,165,0.03,0.54,20,37
279,6,32,apache,data science,5,76,1,165,0.03,0.46,20,43
280,32,6,data science,apache,76,5,1,165,0.46,0.03,1,43
281,6,38,apache,databricks,5,11,1,165,0.03,0.07,20,300
282,38,6,databricks,apache,11,5,1,165,0.07,0.03,9,300
283,6,41,apache,excel,5,75,1,165,0.03,0.45,20,44
285,6,46,apache,google cloud,5,7,1,165,0.03,0.04,20,471
286,46,6,google cloud,apache,7,5,1,165,0.04,0.03,14,471
287,6,48,apache,hadoop,5,21,1,165,0.03,0.13,20,157
288,48,6,hadoop,apache,21,5,1,165,0.13,0.03,5,157
289,6,50,apache,insights,5,70,2,165,0.03,0.42,40,94
291,6,51,apache,java,5,22,1,165,0.03,0.13,20,150
292,51,6,java,apache,22,5,1,165,0.13,0.03,5,150
293,6,53,apache,kafka,5,6,1,165,0.03,0.04,20,550
294,53,6,kafka,apache,6,5,1,165,0.04,0.03,17,550
295,6,55,apache,kubernetes,5,7,2,165,0.03,0.04,40,943
296,55,6,kubernetes,apache,7,5,2,165,0.04,0.03,29,943
297,6,59,apache,machine learning,5,81,1,165,0.03,0.49,20,41
298,59,6,machine learning,apache,81,5,1,165,0.49,0.03,1,41
299,6,64,apache,ml,5,44,1,165,0.03,0.27,20,75
300,64,6,ml,apache,44,5,1,165,0.27,0.03,2,75
301,6,79,apache,python,5,118,2,165,0.03,0.72,40,56
302,79,6,python,apache,118,5,2,165,0.72,0.03,2,56
303,6,92,apache,spark,5,40,2,165,0.03,0.24,40,165
304,92,6,spark,apache,40,5,2,165,0.24,0.03,5,165
305,6,93,apache,spark ml,5,4,1,165,0.03,0.02,20,825
306,93,6,spark ml,apache,4,5,1,165,0.02,0.03,25,825
307,6,94,apache,sql,5,112,2,165,0.03,0.68,40,59
308,94,6,sql,apache,112,5,2,165,0.68,0.03,2,59
311,4,41,analytic,excel,119,75,10,165,0.72,0.45,8,18
313,4,65,analytic,modeling,119,64,12,165,0.72,0.39,10,26
314,65,4,modeling,analytic,64,119,12,165,0.39,0.72,19,26
315,4,85,analytic,reporting ,119,40,9,165,0.72,0.24,8,31
316,85,4,reporting ,analytic,40,119,9,165,0.24,0.72,22,31
317,4,89,analytic,self-starter,119,9,2,165,0.72,0.05,2,31
320,12,3,azure,analysis,24,104,5,165,0.15,0.63,21,33
322,51,3,java,analysis,22,104,8,165,0.13,0.63,36,58
324,54,3,keras,analysis,13,104,1,165,0.08,0.63,8,12
326,67,3,natural language processing,analysis,9,104,3,165,0.05,0.63,33,53
328,100,3,tensorflow,analysis,22,104,5,165,0.13,0.63,23,36
329,2,48,algorithms,hadoop,43,21,4,165,0.26,0.13,9,73
330,48,2,hadoop,algorithms,21,43,4,165,0.13,0.26,19,73
331,2,60,algorithms,manufacturing,43,29,6,165,0.26,0.18,14,79
333,2,61,algorithms,mapreduce,43,3,2,165,0.26,0.02,5,256
334,61,2,mapreduce,algorithms,3,43,2,165,0.02,0.26,67,256
335,2,66,algorithms,multitask,43,2,1,165,0.26,0.01,2,192
337,2,89,algorithms,self-starter,43,9,2,165,0.26,0.05,5,85
339,1,3,agile,analysis,22,104,15,165,0.13,0.63,68,108
341,1,12,agile,azure,22,24,7,165,0.13,0.15,32,219
342,12,1,azure,agile,24,22,7,165,0.15,0.13,29,219
